total_boardings,total_alightings,ridership_start_date,ridership_end_date,ridership_start_time,ridership_end_time,service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,agency_id,route_id,direction_id,trip_id,stop_id
0,0,20170701,20170701,,,,,,,,,,,94,439,,,
0,0,20170702,20170702,,,,,,,,,,,94,439,,,
330,0,20170703,20170703,,,,,,,,,,,94,439,,,
0,0,20170704,20170704,,,,,,,,,,,94,439,,,
358,0,20170705,20170705,,,,,,,,,,,94,439,,,
365,0,20170706,20170706,,,,,,,,,,,94,439,,,
365,0,20170707,20170707,,,,,,,,,,,94,439,,,
0,0,20170708,20170708,,,,,,,,,,,94,439,,,
0,0,20170709,20170709,,,,,,,,,,,94,439,,,
379,0,20170710,20170710,,,,,,,,,,,94,439,,,
458,0,20170711,20170711,,,,,,,,,,,94,439,,,
385,0,20170712,20170712,,,,,,,,,,,94,439,,,
399,0,20170713,20170713,,,,,,,,,,,94,439,,,
335,0,20170714,20170714,,,,,,,,,,,94,439,,,
0,0,20170715,20170715,,,,,,,,,,,94,439,,,
0,0,20170716,20170716,,,,,,,,,,,94,439,,,
356,0,20170717,20170717,,,,,,,,,,,94,439,,,
448,0,20170718,20170718,,,,,,,,,,,94,439,,,
401,0,20170719,20170719,,,,,,,,,,,94,439,,,
391,0,20170720,20170720,,,,,,,,,,,94,439,,,
315,0,20170721,20170721,,,,,,,,,,,94,439,,,
0,0,20170722,20170722,,,,,,,,,,,94,439,,,
0,0,20170723,20170723,,,,,,,,,,,94,439,,,
349,0,20170724,20170724,,,,,,,,,,,94,439,,,
357,0,20170725,20170725,,,,,,,,,,,94,439,,,
360,0,20170726,20170726,,,,,,,,,,,94,439,,,
376,0,20170727,20170727,,,,,,,,,,,94,439,,,
323,0,20170728,20170728,,,,,,,,,,,94,439,,,
0,0,20170729,20170729,,,,,,,,,,,94,439,,,
0,0,20170730,20170730,,,,,,,,,,,94,439,,,
341,0,20170731,20170731,,,,,,,,,,,94,439,,,
0,0,20170701,20170701,,,,,,,,,,,225,1380,,,770061
0,0,20170702,20170702,,,,,,,,,,,225,1380,,,770061
19,0,20170703,20170703,,,,,,,,,,,225,1380,,,770061
0,0,20170704,20170704,,,,,,,,,,,225,1380,,,770061
27,0,20170705,20170705,,,,,,,,,,,225,1380,,,770061
21,0,20170706,20170706,,,,,,,,,,,225,1380,,,770061
23,0,20170707,20170707,,,,,,,,,,,225,1380,,,770061
0,0,20170708,20170708,,,,,,,,,,,225,1380,,,770061
0,0,20170709,20170709,,,,,,,,,,,225,1380,,,770061
20,0,20170710,20170710,,,,,,,,,,,225,1380,,,770061
29,0,20170711,20170711,,,,,,,,,,,225,1380,,,770061
20,0,20170712,20170712,,,,,,,,,,,225,1380,,,770061
24,0,20170713,20170713,,,,,,,,,,,225,1380,,,770061
23,0,20170714,20170714,,,,,,,,,,,225,1380,,,770061
0,0,20170715,20170715,,,,,,,,,,,225,1380,,,770061
0,0,20170716,20170716,,,,,,,,,,,225,1380,,,770061
22,0,20170717,20170717,,,,,,,,,,,225,1380,,,770061
20,0,20170718,20170718,,,,,,,,,,,225,1380,,,770061
29,0,20170719,20170719,,,,,,,,,,,225,1380,,,770061
22,0,20170720,20170720,,,,,,,,,,,225,1380,,,770061
25,0,20170721,20170721,,,,,,,,,,,225,1380,,,770061
0,0,20170722,20170722,,,,,,,,,,,225,1380,,,770061
0,0,20170723,20170723,,,,,,,,,,,225,1380,,,770061
28,0,20170724,20170724,,,,,,,,,,,225,1380,,,770061
25,0,20170725,20170725,,,,,,,,,,,225,1380,,,770061
21,0,20170726,20170726,,,,,,,,,,,225,1380,,,770061
20,0,20170727,20170727,,,,,,,,,,,225,1380,,,770061
28,0,20170728,20170728,,,,,,,,,,,225,1380,,,770061
0,0,20170729,20170729,,,,,,,,,,,225,1380,,,770061
0,0,20170730,20170730,,,,,,,,,,,225,1380,,,770061
26,0,20170731,20170731,,,,,,,,,,,225,1380,,,770061
0,0,20170701,20170701,,,,,,,,,,,225,1380,,,770062
0,0,20170702,20170702,,,,,,,,,,,225,1380,,,770062
9,0,20170703,20170703,,,,,,,,,,,225,1380,,,770062
0,0,20170704,20170704,,,,,,,,,,,225,1380,,,770062
6,0,20170705,20170705,,,,,,,,,,,225,1380,,,770062
6,0,20170706,20170706,,,,,,,,,,,225,1380,,,770062
