trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
23806A281B2431,12:15:00,12:15:00,13837,1,,0,0,0
23806A281B2431,12:30:00,12:30:00,13881,2,,0,0,4.95812097
23806A281B2431,12:35:00,12:35:00,13915,3,,0,0,14.03224913
23806A281B2431,12:50:00,12:50:00,13883,4,,0,0,21.93449952
23806A281B2431,13:00:00,13:00:00,13903,5,,0,0,28.32996246
23806A281B2431,13:05:00,13:05:00,13902,6,,0,0,30.2846726
23806A281B2431,,,13862,7,,0,0,30.58437293
23806A281B2431,13:10:00,13:10:00,13861,8,,0,0,31.57765914
23806A281B2431,13:15:00,13:15:00,13864,9,,0,0,33.95043165
23806A281B2431,13:25:00,13:25:00,13875,10,,0,0,40.41678388
23806A281B2431,13:35:00,13:35:00,13916,11,,0,0,48.4291319
23806A281B2431,13:50:00,13:50:00,13881,12,,0,0,57.98157245
23806A281B2431,14:15:00,14:15:00,13837,13,,0,0,63.08381629
13994A281B2431,06:15:00,06:15:00,13837,1,,0,0,0
13994A281B2431,06:35:00,06:35:00,13884,2,,0,0,15.08550837
13994A281B2431,06:45:00,06:45:00,13889,3,,0,0,20.26126016
13994A281B2431,06:45:00,06:45:00,13884,4,,0,0,25.50610915
13994A281B2431,07:05:00,07:05:00,13863,5,,0,0,31.43651407
13994A281B2431,07:10:00,07:10:00,13905,6,,0,0,33.94575624
13994A281B2431,07:15:00,07:15:00,26712,7,,0,0,36.67311666
13994A281B2431,07:20:00,07:20:00,13868,8,,0,0,39.79715017
13994A281B2431,07:30:00,07:30:00,13837,9,,0,0,44.67423699
58253A1105B4005,11:05:00,11:05:00,770061,1,Medford,0,0,0
58253A1105B4005,11:25:00,11:25:00,770062,2,Medford,2,0,9.20365041
58253A1105B4005,11:40:00,11:40:00,770063,3,Medford,2,0,17.68024849
58253A1105B4005,12:05:00,12:15:00,770064,4,Grants Pass,0,0,30.42241279
58253A1105B4005,12:40:00,12:40:00,770063,5,Grants Pass,2,0,43.54683171
58253A1105B4005,12:55:00,12:55:00,770062,6,Grants Pass,2,0,52.01106294
58253A1105B4005,13:15:00,13:15:00,770061,7,Grants Pass,0,0,61.30160337
31789A281B2431,18:00:00,18:00:00,13837,1,,0,0,0
31789A281B2431,18:02:00,18:02:00,13818,2,,0,0,0.50490178
31789A281B2431,,,13901,3,,0,0,0.67042885
31789A281B2431,,,13822,4,,0,0,1.10268645
31789A281B2431,,,13888,5,,0,0,1.46638737
31789A281B2431,18:05:00,18:05:00,13880,6,,0,0,1.92723378
31789A281B2431,18:06:00,18:06:00,18219,7,,0,0,2.23198015
31789A281B2431,18:08:00,18:08:00,13886,8,,0,0,2.49088416
31789A281B2431,18:11:00,18:11:00,13855,9,,0,0,3.0431135
31789A281B2431,,,13882,10,,2,3,3.45674851
31789A281B2431,18:13:00,18:13:00,13857,11,,0,0,3.62686115
31789A281B2431,,,13858,12,,0,0,4.01064889
31789A281B2431,18:14:00,18:14:00,13859,13,,2,3,4.297806
31789A281B2431,,,13918,14,,2,3,4.87266818
31789A281B2431,18:20:00,18:20:00,27763,15,,0,0,6.82789923
31789A281B2431,,,781976,16,,2,3,7.03271172
31789A281B2431,,,781978,17,,2,3,7.89987508
31789A281B2431,,,18223,18,,0,0,8.82738819
31789A281B2431,18:24:00,18:24:00,13895,19,,2,3,9.04378209
31789A281B2431,18:26:00,18:26:00,781977,20,,2,3,9.25882276
31789A281B2431,,,13896,21,,0,0,9.52864209
31789A281B2431,18:27:00,18:27:00,13897,22,,0,0,9.96385714
31789A281B2431,,,13898,23,,0,0,10.18268094
31789A281B2431,18:30:00,18:30:00,13848,24,,0,0,10.53668745
16969A281B2431,12:30:00,12:30:00,13837,1,,0,0,0
