stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
13839,,Beacon Dr. (Fred Meyers),,42.435139,-123.307518,,,0,,
13858,,Fruitdale Dr. & Cloverlawn,,42.418655,-123.312149,,,0,,
13821,,6th & Midland St. (China Hut),,42.453808,-123.322701,,,0,,
13830,,7th Street (Riverside Park),,42.428413,-123.330177,,,0,,
13826,,7th & J St. (Daily Courier),,42.436588,-123.326874,,,0,,
18220,,Vine,,42.463234,-123.323418,0,,0,,
18224,,Booth,,42.444061,-123.332565,0,,0,,
13867,,Merlin (Lil'-Pantry),,42.51693,-123.422401,,,0,,
781978,,River Park RV Resort,,42.42511022,-123.2829526,,,0,,
13836,,Anderson & Victoria (Oakview Gardens),,42.440578,-123.313423,,,0,,
13848,,East Park St. (Riverside Park),,42.427898,-123.327812,,,0,,
13892,,Across from Redwood Center,,42.42234,-123.361916,,,0,,
781965,,Redwood Ave. (across from Spring Meadows),,42.422338,-123.35684,,,0,,
13909,,Agness and Spalding,,42.43132,-123.297813,0,,0,,
13844,,Bridge St. Market,,42.43512,-123.33622,,,0,,
13878,,Redwood Glass,,42.416084,-123.377579,0,,0,,
13884,,Sunny Valley Store,,42.632397,-123.380028,0,,0,,
13907,,Nebraska and Union,,42.421494,-123.346565,0,,0,,
13899,,F St. (Fred Meyer),,42.434753,-123.307053,,,0,,
13828,,7th St. (Rogue Federal Credit Union),,42.434155,-123.328362,,,0,,
13841,,Booth Street & Foundry,,42.44146,-123.334068,,,0,,
13835,,Allen Creek & Ramsey (Creekside Ctr),,42.417728,-123.351753,,,0,,
13879,,Redwood Shopping Center,,42.422447,-123.365291,,,0,,
781963,,Redwood-Before Willow,,42.4223,-123.377172,,,0,,
13875,,Ray's Selma Market,,42.27972,-123.614708,,,0,,
13856,,F Street (Fire Mt Gems),,42.438133,-123.312889,,,0,,
770061,,Ann Basker Auditorium 500 NW 6th St.,,42.44289,-123.325027,,,0,,
18216,,1/2 block Before College Drive,,42.408531,-123.388145,0,,0,,
18228,,Ramsey / Union,,42.42224874,-123.3368593,,,0,,
13818,,4th and H St.,,42.438816,-123.330254,,,0,,
13897,,Parkdale (ped access at Golden Ct),,42.425167,-123.319733,,,0,,
13825,,7th & Hillcrest (Burger King),,42.459137,-123.320618,,,0,,
13873,,G Street (Options of Southern Oregon) ,,42.440365,-123.340645,,,0,,
13871,,N St. (Riverwood Apts),,42.429501,-123.303314,,,0,,
781962,,Redwood-Waterstone,,42.422277,-123.38552,,,0,,
13853,,F St. (DMV),,42.438412,-123.319656,,,0,,
13819,,6th & K St.,,42.436642,-123.328629,,,0,,
13905,,Mt. View Market & Deli,,42.543526,-123.386444,,,0,,
13886,,Union Ave. (Walgreens),,42.422276,-123.334373,,,0,,
18221,,7th and C St,,42.4414104,-123.324119,,,0,,
18226,,G St. & 7th St. (Safeway),,42.43834694,-123.3255586,,,0,,
26706,,Redwood & Comet,,42.42240318,-123.3854127,,,0,,
13829,,7th St. (Dept. of Human Services - DHS),,42.444248,-123.322411,,,0,,
13903,,Kerby Market,,42.194546,-123.650513,,,0,,
13880,,Ringuette (Senior Meal Site),,42.425053,-123.339928,,,0,,
781976,,R.R. Hwy at Caveman RV,,42.42509544,-123.2660576,,,0,,
